2024-02-05 18:40:22.425 [http-nio-8080-exec-1] ERROR com.safetynet.alerts.model.JsonElts -  'Person' Not found by value :johnboy
2024-02-05 18:54:48.731 [main] INFO  c.safetynet.alerts.AlertsApplication - Starting AlertsApplication using Java 21 with PID 11236 (C:\Users\Pochi\Documents\Projet5\alerts\alerts\target\classes started by Pochi in C:\Users\Pochi\Documents\Projet5\alerts\alerts)
2024-02-05 18:54:48.738 [main] INFO  c.safetynet.alerts.AlertsApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-05 18:54:50.414 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-05 18:54:50.443 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-05 18:54:50.447 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-05 18:54:50.447 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2024-02-05 18:54:50.520 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-05 18:54:50.521 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1704 ms
2024-02-05 18:54:51.125 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-05 18:54:51.159 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-02-05 18:54:51.176 [main] INFO  c.safetynet.alerts.AlertsApplication - Started AlertsApplication in 3.236 seconds (process running for 3.855)
2024-02-05 18:54:51.309 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-05 18:54:51.311 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-05 18:54:51.313 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-02-05 18:54:51.375 [http-nio-8080-exec-1] ERROR com.safetynet.alerts.model.JsonElts -  'Person' couldn't be deleted - Not found by value :johnboy
2024-02-05 18:54:55.650 [http-nio-8080-exec-2] INFO  com.safetynet.alerts.model.JsonElts -  'Person' correctly modified - Value:johnboyd
2024-02-05 18:55:02.401 [http-nio-8080-exec-3] INFO  com.safetynet.alerts.model.JsonElts -  'Person' correctly created - 'Person' :testtest
2024-02-05 18:55:06.922 [http-nio-8080-exec-4] INFO  com.safetynet.alerts.model.JsonElts -  'Person' correctly deleted - Value:johnboyd
2024-02-05 18:56:35.146 [main] INFO  c.s.alerts.AlertsApplicationTests - Starting AlertsApplicationTests using Java 21 with PID 16700 (started by Pochi in C:\Users\Pochi\Documents\Projet5\alerts\alerts)
2024-02-05 18:56:35.148 [main] INFO  c.s.alerts.AlertsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2024-02-05 18:56:37.026 [main] INFO  c.s.alerts.AlertsApplicationTests - Started AlertsApplicationTests in 2.373 seconds (process running for 3.989)
2024-02-06 07:55:58.949 [main] INFO  c.safetynet.alerts.AlertsApplication - Starting AlertsApplication using Java 21 with PID 6412 (C:\Users\Pochi\Documents\Projet5\alerts\alerts\target\classes started by Pochi in C:\Users\Pochi\Documents\Projet5\alerts\alerts)
2024-02-06 07:55:58.954 [main] INFO  c.safetynet.alerts.AlertsApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-06 07:56:00.514 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-06 07:56:00.534 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-06 07:56:00.539 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-06 07:56:00.539 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2024-02-06 07:56:00.618 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-06 07:56:00.619 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1595 ms
2024-02-06 07:56:01.263 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-06 07:56:01.292 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-02-06 07:56:01.304 [main] INFO  c.safetynet.alerts.AlertsApplication - Started AlertsApplication in 3.235 seconds (process running for 4.019)
2024-02-06 07:56:11.624 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-06 07:56:11.625 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-06 07:56:11.627 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-02-06 07:56:11.682 [http-nio-8080-exec-2] INFO  com.safetynet.alerts.model.JsonElts -  'Person' correctly deleted - Value:johnboyd
2024-02-06 07:56:20.310 [http-nio-8080-exec-1] ERROR com.safetynet.alerts.model.JsonElts -  'Person' couldn't be deleted - Not found by value :johnboy
2024-02-06 08:02:38.887 [main] INFO  c.safetynet.alerts.AlertsApplication - Starting AlertsApplication using Java 21 with PID 16968 (C:\Users\Pochi\Documents\Projet5\alerts\alerts\target\classes started by Pochi in C:\Users\Pochi\Documents\Projet5\alerts\alerts)
2024-02-06 08:02:38.893 [main] INFO  c.safetynet.alerts.AlertsApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-06 08:02:40.486 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-06 08:02:40.511 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-06 08:02:40.515 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-06 08:02:40.515 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
